Date : 2022-06-10 12:43:51
Directory : k:\Work\React-native\Bakish\Bakish
Total : 48 files,  27958 codes, 385 comments, 283 blanks, all 28626 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| k:\Work\React-native\Bakish\Bakish\android\app\src\main\java\com\bakish\newarchitecture\modules\MainApplicationTurboModuleManagerDelegate.java | Java               |         30 |         10 |          9 |         49 |
| k:\Work\React-native\Bakish\Bakish\android\app\src\main\jni\Android.mk                                                                         | Makefile           |         28 |         12 |         10 |         50 |
| k:\Work\React-native\Bakish\Bakish\android\app\src\main\jni\MainApplicationModuleProvider.cpp                                                  | C++                |         11 |          9 |          5 |         25 |
| k:\Work\React-native\Bakish\Bakish\android\app\src\main\jni\MainApplicationModuleProvider.h                                                    | C++                |         11 |          0 |          6 |         17 |
| k:\Work\React-native\Bakish\Bakish\android\app\src\main\jni\MainApplicationTurboModuleManagerDelegate.cpp                                      | C++                |         37 |          1 |          8 |         46 |
| k:\Work\React-native\Bakish\Bakish\android\app\src\main\jni\MainApplicationTurboModuleManagerDelegate.h                                        | C++                |         25 |          5 |          9 |         39 |
| k:\Work\React-native\Bakish\Bakish\android\app\src\main\jni\MainComponentsRegistry.cpp                                                         | C++                |         43 |          5 |         14 |         62 |
| k:\Work\React-native\Bakish\Bakish\android\app\src\main\jni\MainComponentsRegistry.h                                                           | C++                |         23 |          1 |          9 |         33 |
| k:\Work\React-native\Bakish\Bakish\android\app\src\main\jni\OnLoad.cpp                                                                         | C++                |         10 |          0 |          2 |         12 |
| k:\Work\React-native\Bakish\Bakish\android\app\src\main\res\drawable\rn_edit_text_material.xml                                                 | XML                |         11 |         23 |          3 |         37 |
| k:\Work\React-native\Bakish\Bakish\android\app\src\main\res\values\strings.xml                                                                 | XML                |          3 |          0 |          1 |          4 |
| k:\Work\React-native\Bakish\Bakish\android\app\src\main\res\values\styles.xml                                                                  | XML                |          5 |          2 |          3 |         10 |
| k:\Work\React-native\Bakish\Bakish\android\build.gradle                                                                                        | Groovy             |         40 |          9 |          5 |         54 |
| k:\Work\React-native\Bakish\Bakish\android\gradle.properties                                                                                   | Properties         |          6 |         26 |          9 |         41 |
| k:\Work\React-native\Bakish\Bakish\android\gradle\wrapper\gradle-wrapper.properties                                                            | Properties         |          5 |          0 |          1 |          6 |
| k:\Work\React-native\Bakish\Bakish\android\gradlew.bat                                                                                         | Batch              |         68 |          0 |         22 |         90 |
| k:\Work\React-native\Bakish\Bakish\android\settings.gradle                                                                                     | Groovy             |          8 |          0 |          2 |         10 |
| k:\Work\React-native\Bakish\Bakish\app.json                                                                                                    | JSON               |          4 |          0 |          0 |          4 |
| k:\Work\React-native\Bakish\Bakish\babel.config.js                                                                                             | JavaScript         |         16 |          0 |          1 |         17 |
| k:\Work\React-native\Bakish\Bakish\index.js                                                                                                    | JavaScript         |          4 |          3 |          3 |         10 |
| k:\Work\React-native\Bakish\Bakish\ios\BakishTests\BakishTests.m                                                                               | Objective-C        |         53 |          0 |         14 |         67 |
| k:\Work\React-native\Bakish\Bakish\ios\Bakish\AppDelegate.h                                                                                    | C++                |          5 |          0 |          4 |          9 |
| k:\Work\React-native\Bakish\Bakish\ios\Bakish\AppDelegate.mm                                                                                   | Objective-C++      |         85 |          0 |         24 |        109 |
| k:\Work\React-native\Bakish\Bakish\ios\Bakish\Images.xcassets\AppIcon.appiconset\Contents.json                                                 | JSON               |         53 |          0 |          1 |         54 |
| k:\Work\React-native\Bakish\Bakish\ios\Bakish\Images.xcassets\Contents.json                                                                    | JSON               |          6 |          0 |          1 |          7 |
| k:\Work\React-native\Bakish\Bakish\ios\Bakish\LaunchScreen.storyboard                                                                          | XML                |         46 |          1 |          1 |         48 |
| k:\Work\React-native\Bakish\Bakish\ios\Bakish\main.m                                                                                           | Objective-C        |          8 |          0 |          3 |         11 |
| k:\Work\React-native\Bakish\Bakish\metro.config.js                                                                                             | JavaScript         |         10 |          6 |          2 |         18 |
| k:\Work\React-native\Bakish\Bakish\package-lock.json                                                                                           | JSON               |     26,716 |          0 |          1 |     26,717 |
| k:\Work\React-native\Bakish\Bakish\package.json                                                                                                | JSON               |         46 |          0 |          1 |         47 |
| k:\Work\React-native\Bakish\Bakish\src\screens\HomeScreen\HomeScreen.tsx                                                                       | TypeScript React   |         10 |          0 |          3 |         13 |
| k:\Work\React-native\Bakish\Bakish\src\screens\HomeScreen\index.ts                                                                             | TypeScript         |          1 |          0 |          1 |          2 |
| k:\Work\React-native\Bakish\Bakish\src\theme\colors.ts                                                                                         | TypeScript         |          2 |          0 |          2 |          4 |
| k:\Work\React-native\Bakish\Bakish\src\theme\fonts.ts                                                                                          | TypeScript         |         18 |          0 |          4 |         22 |
| k:\Work\React-native\Bakish\Bakish\tsconfig.json                                                                                               | JSON with Comments |         21 |         76 |          9 |        106 |
| Total                                                                                                                                          |                    |     27,958 |        385 |        283 |     28,626 |
+------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
